2017-10-18 00:58:19,598 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.project:enterpriceapp:0.0.1-SNAPSHOT @ C:\Users\Mohan\Desktop\commit\enterpriseapp\pom.xml.
2017-10-18 00:58:19,619 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.project:enterpriceappbackend:jar:0.0.1-SNAPSHOT is missing, no dependency information available
2017-10-18 00:58:20,896 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.project:enterpriceappbackend:jar:0.0.1-SNAPSHOT is missing, no dependency information available
2017-10-18 00:58:25,355 [Worker-8] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /enterpriseapp/src/main/java
2017-10-18 00:58:25,357 [Worker-8] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /enterpriseapp/src/main/resources
2017-10-18 00:58:25,359 [Worker-8] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /enterpriseapp/src/test/java
2017-10-18 00:58:27,676 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.project:enterpriceappbackend:jar:0.0.1-SNAPSHOT is missing, no dependency information available
2017-10-18 00:58:27,819 [Worker-8] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 18 sec
2017-10-18 00:58:29,654 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.project:enterpriceappbackend:jar:0.0.1-SNAPSHOT is missing, no dependency information available
2017-10-18 00:58:29,898 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-18 00:58:29,908 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-10-18 00:58:29,913 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-18 00:58:29,915 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Mohan\Desktop\commit\enterpriseapp\src\test\resources
2017-10-18 00:59:25,812 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-18 00:59:25,839 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-10-18 00:59:25,841 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-18 00:59:25,843 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Mohan\Desktop\commit\enterpriseapp\src\test\resources
2017-10-18 01:00:37,072 [Worker-10] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.project:enterpriceappbackend:0.0.1-SNAPSHOT @ C:\Users\Mohan\Desktop\Workspace\enterpriseappbackend\pom.xml.
2017-10-18 01:00:37,522 [Worker-10] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.project:enterpriceapp:0.0.1-SNAPSHOT @ C:\Users\Mohan\Desktop\commit\enterpriseapp\pom.xml.
2017-10-18 01:00:38,907 [Worker-10] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /enterpriceappbackend/src/main/java
2017-10-18 01:00:38,910 [Worker-10] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /enterpriceappbackend/src/test/java
2017-10-18 01:00:39,150 [Worker-10] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 2 sec
2017-10-18 01:00:40,875 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2017-10-18 01:00:40,875 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Mohan\Desktop\Workspace\enterpriseappbackend\src\main\resources
2017-10-18 01:00:40,895 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2017-10-18 01:00:40,896 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Mohan\Desktop\Workspace\enterpriseappbackend\src\test\resources
2017-10-18 01:00:42,430 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-18 01:00:42,447 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-10-18 01:00:42,449 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-18 01:00:42,452 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Mohan\Desktop\commit\enterpriseapp\src\test\resources
2017-10-18 09:20:05,666 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-18 09:20:05,707 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-10-18 09:20:05,711 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
